res_id,name,establishment,url,address,city,city_id,locality,latitude,longitude,zipcode,country_id,locality_verbose,cuisines,timings,average_cost_for_two,price_range,currency,highlights,aggregate_rating,rating_text,votes,photo_count,opentable_support,delivery,takeaway
18793542,The Break Room,['Bar'],https://www.zomato.com/pune/the-break-room-baner?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"A101, Baner Biz Bay, Near D-Mart, Baner, Pune",Pune,5,Baner,18.5667156318,73.7719112635,411045,1,"Baner, Pune","North Indian, Continental, Chinese","12:30 PM to 11:30 PM (Mon), 12:30 PM to 1 AM (Tue-Sun)",1800,3,Rs.,"['Lunch', 'Takeaway Available', 'Debit Card', 'Dinner', 'Cash', 'Delivery', 'Credit Card', 'Fullbar', 'Indoor Seating', 'Air Conditioned', 'Smoking Area', 'DJ', 'Free Parking', 'Live Sports Screening', 'Live Music', 'Serves Cocktails', 'Sneakpeek', 'Dance Floor', 'Live Entertainment', 'Nightlife']",4.1,Very Good,358,614,0.0,-1,-1
18759985,Karlo Art Kitchen & Cafe,['Casual Dining'],https://www.zomato.com/pune/karlo-art-kitchen-cafe-deccan-gymkhana?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"35/6, Madhav Nivas, Lane 8, Prabhat Road, Off Karve Road, Near Kohinoor Mangal Karalaya, Deccan Gymkhana, Pune",Pune,5,Deccan Gymkhana,18.512355,73.837219,,1,"Deccan Gymkhana, Pune","North Indian, Continental, Italian, Bar Food",7am â 11:30pm (Mon-Sun),1200,3,Rs.,"['Dinner', 'Cash', 'Credit Card', 'Debit Card', 'Lunch', 'Takeaway Available', 'Breakfast', 'Valet Parking Available', 'Outdoor Seating', 'Serves Cocktails', 'Gluten Free Options', 'Fullbar', 'Indoor Seating', 'Air Conditioned', 'Vegan Options']",4.2,Very Good,460,1459,0.0,-1,-1
6505653,Raasta Cafe,['Bar'],https://www.zomato.com/pune/raasta-cafe-rasta-peth?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Shantai Hotel, Off Moledina Road, Near Samarth Police Station, Rasta Peth, Pune",Pune,5,"Shantai Hotel, Rasta Peth",18.5196823195,73.87078955770001,,1,"Shantai Hotel, Rasta Peth, Pune","Continental, Italian, Asian, North Indian",12 Noon to 12 Midnight,1400,3,Rs.,"['Lunch', 'Dinner', 'Cash', 'Credit Card', 'Debit Card', 'Takeaway Available', 'Delivery', 'Live Entertainment', 'Smoking Area', 'Wifi', 'Indoor Seating', 'Valet Parking Available', 'Outdoor Seating', 'Table booking recommended', 'Fullbar', 'Nightlife', 'Live Sports Screening']",3.8,Good,561,753,0.0,1,-1
6506436,Aufside @ Hotfut,['Pub'],https://www.zomato.com/aufside?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Third Floor, Kumar Pacific Mall, Swargate, Pune",Pune,5,"Kumar Pacific Mall, Swargate",18.5013631504,73.87204617260001,,1,"Kumar Pacific Mall, Swargate, Pune","American, North Indian, Finger Food","3pm â 11:30pm (Mon, Wed), 1pm â 11:30pm (Tue, Sun), 3pm â 12midnight (Thu-Sat)",1300,3,Rs.,"['Debit Card', 'Lunch', 'Mall Parking', 'Takeaway Available', 'Dinner', 'Cash', 'Credit Card', 'Beer', 'Live Sports Screening', 'Fullbar', 'Live Music', 'Above 18 Only', 'Smoking Area', 'Serves Cocktails', 'Wine', 'Nightlife', 'Outdoor Seating', 'Indoor Seating', 'Table booking recommended', 'Air Conditioned', 'Wifi']",4.0,Very Good,458,562,0.0,1,-1
18595504,Ironbar 'n' Grill,['Bar'],https://www.zomato.com/pune/ironbar-n-grill-yerawada?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Unit 8, Pubtown, Ishanya Mall, Opposite Golf Course, Off Airport Road, Yerawada, Pune",Pune,5,"Pubtown, Creaticity Mall, Yerawada",18.5563649901,73.8933224604,,1,"Pubtown, Creaticity Mall, Yerawada, Pune","Asian, European, North Indian, American",12noon â 1am (Mon-Sun),1500,3,Rs.,"['Lunch', 'Mall Parking', 'Delivery', 'Debit Card', 'Dinner', 'Cash', 'Takeaway Available', 'Credit Card', 'Fullbar', 'Free Wifi', 'Air Conditioned', 'Smoking Area', 'Pure Veg', 'DJ', 'Valet Parking Available', 'Gin Bar', 'Outdoor Seating', 'Indoor Seating', 'Table booking recommended', 'Kid Friendly', 'Wheelchair Accessible', 'Nightlife']",4.3,Sangat Baik,409,518,0.0,-1,-1
18752308,Wilder West,['Bar'],https://www.zomato.com/pune/wilder-west-kothrud?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"3/4, New Friends Society, Paud Road, Kothrud, Pune",Pune,5,Kothrud,18.5074565107,73.8068708405,411038,1,"Kothrud, Pune","Continental, Kebab, Salad, Italian, Tex-Mex, North Indian, Asian",11 AM to 3 AM,1400,3,Rs.,"['Lunch', 'Serves Alcohol', 'Cash', 'Credit Card', 'Dinner', 'Debit Card', 'Live Music', 'Nightlife', 'Fullbar', 'Outdoor Seating', 'Indoor Seating', 'Air Conditioned', 'Wifi', 'Valet Parking Available']",3.9,Good,335,464,0.0,-1,-1
18507173,Coco - Sushi & Bar,['Bar'],https://www.zomato.com/pune/coco-sushi-bar-mundhwa?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"12th Floor, Onyx Towers, Mundhwa, Pune",Pune,5,Mundhwa,18.5386832845,73.90713449569999,,1,"Mundhwa, Pune","Sushi, Asian","7 PM to 12:30 AM (Tue-Thu), 7 PM to 2:30 AM (Fri-Sun), Mon Closed",1900,3,Rs.,"['Serves Alcohol', 'Debit Card', 'Dinner', 'Cash', 'Credit Card', 'DJ', 'Free Parking', 'City View', 'Fullbar', 'Entry Fee', 'Table reservation required', 'Air Conditioned', 'Private Dining Area Available', 'Wheelchair Accessible', 'Dance Floor', 'Nightlife', 'Valet Parking Available', 'Indoor Seating', 'Above 18 Only', 'Restricted Entry', 'Smoking Area']",3.9,Good,316,399,0.0,-1,-1
18624716,Mad About Drinks,['Bar'],https://www.zomato.com/pune/mad-about-drinks-law-college-road?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Business Guild Building, Indsearch, Law College Road, Pune",Pune,5,Law College Road,18.514910368,73.82877476510001,,1,"Law College Road, Pune","Finger Food, Asian, Continental, North Indian, Pizza",1 PM to 1 AM,1100,3,Rs.,"['Dinner', 'Delivery', 'Debit Card', 'Lunch', 'Serves Alcohol', 'Cash', 'Credit Card', 'Sports TV', 'Indoor Seating', 'Above 18 Only', 'Air Conditioned', 'Private Dining Area Available', 'DJ', 'Live Sports Screening', 'Nightlife', 'Fullbar', 'Table booking recommended', 'Smoking Area', 'Free Parking']",3.8,Good,143,134,0.0,1,-1
18664413,360 Degree - The Rooftop Restaurant & Bar,['Casual Dining'],https://www.zomato.com/pune/360-degree-the-rooftop-restaurant-bar-jm-road?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"10th Floor, Bhosale-Shinde Arcade, JM Road, Pune",Pune,5,"Bhosale-Shinde Arcade, JM Road",18.5173265626,73.84351283310001,,1,"Bhosale-Shinde Arcade, JM Road, Pune","Asian, Chinese, Continental, Finger Food, North Indian, Italian, Seafood",12noon â 2am (Mon-Sun),1000,3,Rs.,"['Dinner', 'Takeaway Available', 'Debit Card', 'Lunch', 'Cash', 'Credit Card', 'DJ', 'Live Entertainment', 'Nightlife', 'Live Music', 'Rooftop', 'Air Conditioned', 'Free Parking', 'Live Sports Screening', 'Fullbar', 'Indoor Seating', 'Table booking recommended']",3.6,Good,185,104,0.0,-1,-1
18979886,Local Gastro Bar,['Bar'],https://www.zomato.com/pune/local-gastro-bar-kharadi?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Survey 1/1A, 1st Floor, Global Business Hub, Opposite Eon Free Zone Road, Kharadi, Pune",Pune,5,Kharadi,18.5538135031,73.949740588,,1,"Kharadi, Pune","Finger Food, North Indian, Italian, Chinese",3 PM to 1:30 AM,1600,3,Rs.,"['Dinner', 'Cash', 'Debit Card', 'Lunch', 'Credit Card', 'Live Sports Screening', 'Valet Parking Available', 'Outdoor Seating', 'Indoor Seating', 'Wifi', 'Nightlife', 'Fullbar', 'Live Music', 'Air Conditioned', 'Smoking Area']",3.9,Good,157,79,0.0,-1,-1
